model,think,tool_filter,prompt_style,cond,host,jobid,solve_succ,solve_ci_lo,solve_ci_hi,solve_tool_sel,solve_trunc,validate_domain_succ,validate_domain_ci_lo,validate_domain_ci_hi,validate_domain_tool_sel,validate_domain_trunc,validate_problem_succ,validate_problem_ci_lo,validate_problem_ci_hi,validate_problem_tool_sel,validate_problem_trunc,validate_plan_succ,validate_plan_ci_lo,validate_plan_ci_hi,validate_plan_tool_sel,validate_plan_trunc,simulate_succ,simulate_ci_lo,simulate_ci_hi,simulate_tool_sel,simulate_trunc,st_mean,total_n
Qwen3_5_0_8B,off,-,-,no-tools,rtx,,0.0,0.0,0.0126,,0.6466666666666666,0.0,0.0,0.0106,,0.14444444444444443,0.0,0.0,0.0064,,0.4083333333333333,0.0,0.0,0.0013,,0.30133333333333334,0.0,0.0,0.0126,,0.55,0.0,4560
Qwen3_5_0_8B,off,all,minimal,tools,rtx,,0.43,0.3752,0.4866,0.9967,0.4866666666666667,0.975,0.9532,0.9868,1.0,0.002777777777777778,0.6283,0.589,0.6661,1.0,0.13166666666666665,0.4953,0.4775,0.5132,1.0,0.3293333333333333,0.1567,0.1199,0.2021,0.91,0.6466666666666666,0.53706,4560
Qwen3_5_0_8B,on,-,-,no-tools,rtx,,0.0,0.0,0.0126,,0.99,0.0083,0.0028,0.0242,,0.6583333333333333,0.0033,0.0009,0.0121,,0.7283333333333334,0.0,0.0,0.0013,,0.957,0.0,0.0,0.0126,,0.9866666666666667,0.00232,4560
Qwen3_5_0_8B,on,all,minimal,tools,rtx,,0.3267,0.2761,0.3816,0.9467,0.5666666666666667,0.9694,0.9461,0.9829,0.9917,0.08055555555555556,0.4933,0.4535,0.5333,0.9983,0.385,0.4443,0.4266,0.4622,0.917,0.5936666666666667,0.09,0.0626,0.1278,0.8567,0.6866666666666666,0.46474000000000004,4560
Qwen3_5_4B,off,-,-,no-tools,rtx,,0.21,0.1677,0.2596,,0.29,0.0,0.0,0.0106,,0.12222222222222222,0.0683,0.0508,0.0914,,0.105,0.002,0.0009,0.0044,,0.06233333333333333,0.0,0.0,0.0126,,0.4,0.05606,4560
gemma4_26b-a4b,off,-,-,no-tools,rtx,,0.4233,0.3687,0.4799,,0.13666666666666666,0.0167,0.0077,0.0359,,0.0,0.015,0.0079,0.0283,,0.028333333333333332,0.001,0.0003,0.0029,,0.004333333333333333,0.0,0.0,0.0126,,0.2733333333333333,0.0912,4560
gemma4_26b-a4b,on,all,minimal,tools,rtx,,0.9,0.8608,0.9291,0.92,0.20666666666666667,0.9861,0.9679,0.9941,0.9944,0.03888888888888889,0.97,0.9531,0.9809,0.9783,0.09333333333333334,0.9433,0.9345,0.9511,0.969,0.08266666666666667,0.8667,0.8235,0.9005,0.92,0.5566666666666666,0.93322,4560
qwen3_6_35b,off,-,-,no-tools,rtx,,0.55,0.4934,0.6053,,0.13,0.0,0.0,0.0106,,0.025,0.005,0.0017,0.0146,,0.01,0.0023,0.0011,0.0048,,0.036333333333333336,0.0,0.0,0.0126,,0.31666666666666665,0.11146,4560
qwen3_6_35b,off,all,minimal,tools,rtx,,0.9967,0.9814,0.9994,1.0,0.16666666666666666,0.975,0.9532,0.9868,1.0,0.0,0.9683,0.9511,0.9796,1.0,0.013333333333333334,0.9907,0.9865,0.9935,1.0,0.05433333333333333,0.9567,0.9273,0.9745,1.0,0.6166666666666667,0.9774800000000001,4560
qwen3_6_35b,on,all,minimal,tools,rtx,,1.0,0.9874,1.0,1.0,0.2966666666666667,0.9972,0.9844,0.9995,1.0,0.002777777777777778,0.965,0.9471,0.977,1.0,0.043333333333333335,0.9893,0.985,0.9924,0.9967,0.057666666666666665,0.9567,0.9273,0.9745,1.0,0.61,0.98164,4560
